Plant ID;Date (start);Meter;Interval;Value
ALVI;01/01/2023;Utility Statement;Monthly;5734593.83333
ALVI;01/02/2023;Utility Statement;Monthly;2674947.33333
ALVI;01/03/2023;Utility Statement;Monthly;5824497.91667
ALVI;01/04/2023;Utility Statement;Monthly;3600856.75
ALVI;01/05/2023;Utility Statement;Monthly;3469402.16667
ALVI;01/06/2023;Utility Statement;Monthly;1948639.83333
AMBE;01/01/2023;Utility Statement;Monthly;347491.66667
AMBE;01/02/2023;Utility Statement;Monthly;739429.0
AMBE;01/03/2023;Utility Statement;Monthly;853833.33333
AMBE;01/04/2023;Utility Statement;Monthly;1355048.25
AMBE;01/05/2023;Utility Statement;Monthly;1454650.08333
AMBE;01/06/2023;Utility Statement;Monthly;1478233.0
AMEL;01/01/2023;Utility Statement;Monthly;3475014.33333
AMEL;01/02/2023;Utility Statement;Monthly;2211153.16667
AMEL;01/03/2023;Utility Statement;Monthly;3085788.66667
AMEL;01/04/2023;Utility Statement;Monthly;1903958.0
AMEL;01/05/2023;Utility Statement;Monthly;1295802.58333
AMEL;01/06/2023;Utility Statement;Monthly;1268219.16667
ANPA;01/01/2023;Utility Statement;Monthly;3539404.0
ANPA;01/02/2023;Utility Statement;Monthly;1780346.83333
ANPA;01/03/2023;Utility Statement;Monthly;2714427.16667
ANPA;01/04/2023;Utility Statement;Monthly;2871548.25
ANPA;01/05/2023;Utility Statement;Monthly;2967714.66667
ANPA;01/06/2023;Utility Statement;Monthly;1155368.58333
ARAM;01/01/2023;Utility Statement;Monthly;320776.83333
ARAM;01/02/2023;Utility Statement;Monthly;392620.16667
ARAM;01/03/2023;Utility Statement;Monthly;613227.5
ARAM;01/04/2023;Utility Statement;Monthly;758986.41667
ARAM;01/05/2023;Utility Statement;Monthly;743958.0
ARAM;01/06/2023;Utility Statement;Monthly;754993.91667
ARTI;01/01/2023;Utility Statement;Monthly;172510.83333
ARTI;01/02/2023;Utility Statement;Monthly;352388.16667
ARTI;01/03/2023;Utility Statement;Monthly;435641.16667
ARTI;01/04/2023;Utility Statement;Monthly;537385.75
ARTI;01/05/2023;Utility Statement;Monthly;548401.0
ARTI;01/06/2023;Utility Statement;Monthly;491697.91667
AUCO;01/01/2023;Utility Statement;Monthly;3068551.16667
AUCO;01/02/2023;Utility Statement;Monthly;1344169.5
AUCO;01/03/2023;Utility Statement;Monthly;2155275.58333
AUCO;01/04/2023;Utility Statement;Monthly;1822075.16667
AUCO;01/05/2023;Utility Statement;Monthly;1371445.5
AUCO;01/06/2023;Utility Statement;Monthly;1058729.0
AUM3;01/01/2023;Utility Statement;Monthly;3901132.5
AUM3;01/02/2023;Utility Statement;Monthly;1678906.5
AUM3;01/03/2023;Utility Statement;Monthly;2521082.5
AUM3;01/04/2023;Utility Statement;Monthly;2010555.0
AUM3;01/05/2023;Utility Statement;Monthly;1672777.5
AUM3;01/06/2023;Utility Statement;Monthly;895245.0
AUQB;01/01/2023;Utility Statement;Monthly;2552341.0
AUQB;01/02/2023;Utility Statement;Monthly;1205276.5
AUQB;01/03/2023;Utility Statement;Monthly;970364.0
AUQB;01/04/2023;Utility Statement;Monthly;1626030.16667
AUQB;01/05/2023;Utility Statement;Monthly;1362920.66667
AUQB;01/06/2023;Utility Statement;Monthly;696041.83333
BAMB;01/01/2023;Utility Statement;Monthly;2916743.16667
BAMB;01/02/2023;Utility Statement;Monthly;1880857.5
BAMB;01/03/2023;Utility Statement;Monthly;2643738.0
BAMB;01/04/2023;Utility Statement;Monthly;1414602.33333
BAMB;01/05/2023;Utility Statement;Monthly;865723.41667
BAMB;01/06/2023;Utility Statement;Monthly;620682.41667
BARB;01/01/2023;Utility Statement;Monthly;1344372.0
BARB;01/02/2023;Utility Statement;Monthly;1034069.16667
BARB;01/03/2023;Utility Statement;Monthly;1001975.83333
BARB;01/04/2023;Utility Statement;Monthly;1508189.16667
BARB;01/05/2023;Utility Statement;Monthly;1098527.66667
BARB;01/06/2023;Utility Statement;Monthly;999270.41667
BDBS;01/01/2023;Utility Statement;Monthly;5377064.16667
BDBS;01/02/2023;Utility Statement;Monthly;3883761.5
BDBS;01/03/2023;Utility Statement;Monthly;5433052.75
BDBS;01/04/2023;Utility Statement;Monthly;3453966.16667
BDBS;01/05/2023;Utility Statement;Monthly;2982920.66667
BDBS;01/06/2023;Utility Statement;Monthly;2170662.91667
BEAU;01/04/2023;Utility Statement;Monthly;1785978.75
BEAU;01/05/2023;Utility Statement;Monthly;2162209.91667
BEAU;01/06/2023;Utility Statement;Monthly;2314545.58333
BLAU;01/01/2023;Utility Statement;Monthly;212484.0
BLAU;01/02/2023;Utility Statement;Monthly;273961.0
BLAU;01/03/2023;Utility Statement;Monthly;355449.75
BLAU;01/04/2023;Utility Statement;Monthly;1502.5
BLAU;01/05/2023;Utility Statement;Monthly;1395.08333
BLAU;01/06/2023;Utility Statement;Monthly;359053.83333
BOUS;01/01/2023;Utility Statement;Monthly;2198926.33333
BOUS;01/02/2023;Utility Statement;Monthly;1400020.0
