Plant ID;Excedance Probability;Forcast Type;January;February;March;April;May;June;July;August;September;October;November;December;Scenario;Source
ALLA;P50;Generation;3357384000.0;1989186880.0;2208805250.0;2564738500.0;1754422380.0;1572669250.0;1691313750.0;1739276380.0;1608010120.0;2188610500.0;1938699880.0;2627847000.0;Management Case;RDL 2023
ALLA;P75;Generation;3087160010.0;1829084250.0;2031026310.0;2358311750.0;1613215120.0;1446090650.0;1555185880.0;1599288160.0;1478587060.0;2012456970.0;1782660770.0;2416340870.0;Management Case;RDL 2023
ALVI;P50;Generation;5203997500.0;4558796000.0;4681243000.0;3367292500.0;3503868000.0;2919890000.0;3155365000.0;2966985000.0;3061175000.0;4040751000.0;4568215000.0;5067422000.0;Management Case;RDL 2023
AMEL;P50;Generation;2702914000.0;2607916250.0;2386254750.0;1633057750.0;1499608380.0;1219138620.0;1359373500.0;1286994250.0;1377468380.0;1911265620.0;2037929380.0;2596607000.0;Management Case;RDL 2023
AMEL;P75;Generation;2607370410.0;2515730670.0;2301904540.0;1575331830.0;1446599670.0;1176044060.0;1311321870.0;1241501110.0;1328777120.0;1843705500.0;1965891910.0;2504821190.0;Management Case;RDL 2023
ANPA;P50;Generation;2485600.0;2342200.0;2461700.0;2007600.0;1792500.0;1457900.0;1362300.0;1362300.0;1649100.0;2151000.0;2318300.0;2509500.0;Management Case;RDL 2023
AUCO;P50;Generation;2784450000.0;2887035000.0;2245146000.0;2889966000.0;2089803000.0;2028252000.0;2467902000.0;1902219000.0;2107389000.0;2379972000.0;2954448000.0;2573418000.0;Management Case;RDL 2023
AUCO;P75;Generation;2537910160.0;2631412110.0;2046357030.0;2634083590.0;1904768360.0;1848667190.0;2249389840.0;1733793360.0;1920797270.0;2169245310.0;2692856250.0;2345563280.0;Management Case;RDL 2023
AUM3;P50;Generation;3364590500.0;2982097000.0;2934708250.0;2741769000.0;2853470750.0;2179875500.0;2792542500.0;2900859250.0;2257728250.0;2667301250.0;3266428500.0;2904244250.0;Management Case;RDL 2023
AUM3;P75;Generation;3080387270.0;2730202570.0;2686816700.0;2510174810.0;2612441240.0;1995743830.0;2556659530.0;2655826890.0;2067020450.0;2441997270.0;2990516910.0;2658925960.0;Management Case;RDL 2023
AUQB;P50;Generation;2289200000.0;2265600000.0;1935200000.0;2147600000.0;1888000000.0;1557600000.0;1888000000.0;2006000000.0;1604800000.0;1911600000.0;2147600000.0;1958800000.0;Management Case;RDL 2023
