Plant ID;Meter;Date (start);Interval;Value
FIEN-ECP001-METER001;Utility Statement;01/01/2023;Monthly;3178206
FIEN-ECP001-METER001;Utility Statement;01/02/2023;Monthly;2131732
FIEN-ECP001-METER001;Utility Statement;01/03/2023;Monthly;3805048
FIEN-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1935999
FIEN-ECP001-METER001;Utility Statement;01/05/2023;Monthly;1629753
FIEN-ECP001-METER001;Utility Statement;01/06/2023;Monthly;1672118
FIEN-ECP001-METER001;Utility Statement;01/07/2023;Monthly;2713492
FIEN-ECP001-METER001;Utility Statement;01/08/2023;Monthly;1608653
FIEN-ECP001-METER001;Export;01/01/2023;Monthly;3178210
FIEN-ECP001-METER001;Export;01/02/2023;Monthly;2131732
FIEN-ECP001-METER001;Export;01/03/2023;Monthly;3805383
FIEN-ECP001-METER001;Export;01/04/2023;Monthly;1935997
FIEN-ECP001-METER001;Export;01/05/2023;Monthly;1629756
FIEN-ECP001-METER001;Export;01/06/2023;Monthly;1672125
FIEN-ECP001-METER001;Export;01/07/2023;Monthly;2568780
FIEN-ECP001-METER001;Export;01/08/2023;Monthly;1585950
JONC-ECP001-METER001;Utility Statement;01/01/2023;Monthly;3314674
JONC-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1756956
JONC-ECP001-METER001;Utility Statement;01/03/2023;Monthly;1854260
JONC-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1977638
JONC-ECP001-METER001;Utility Statement;01/05/2023;Monthly;1592121
JONC-ECP001-METER001;Utility Statement;01/06/2023;Monthly;689993
JONC-ECP001-METER001;Utility Statement;01/07/2023;Monthly;50
JONC-ECP001-METER001;Utility Statement;01/08/2023;Monthly;756636
JONC-ECP001-METER001;Export;01/01/2023;Monthly;3314670
JONC-ECP001-METER001;Export;01/02/2023;Monthly;1516529
JONC-ECP001-METER001;Export;01/03/2023;Monthly;1862216
JONC-ECP001-METER001;Export;01/04/2023;Monthly;1897417
JONC-ECP001-METER001;Export;01/05/2023;Monthly;1592118
JONC-ECP001-METER001;Export;01/06/2023;Monthly;689993
JONC-ECP001-METER001;Export;01/07/2023;Monthly;50
JONC-ECP001-METER001;Export;01/08/2023;Monthly;755976
JON2-ECP001-METER001;Utility Statement;01/01/2023;Monthly;1181022
JON2-ECP001-METER001;Utility Statement;01/02/2023;Monthly;857444
JON2-ECP001-METER001;Utility Statement;01/03/2023;Monthly;1125246
JON2-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1095318
JON2-ECP001-METER001;Utility Statement;01/05/2023;Monthly;873046
JON2-ECP001-METER001;Utility Statement;01/06/2023;Monthly;321818
JON2-ECP001-METER001;Utility Statement;01/07/2023;Monthly;501454
JON2-ECP001-METER001;Utility Statement;01/08/2023;Monthly;793934
JON2-ECP001-METER001;Export;01/01/2023;Monthly;1181018
JON2-ECP001-METER001;Export;01/02/2023;Monthly;857449
JON2-ECP001-METER001;Export;01/03/2023;Monthly;1129808
JON2-ECP001-METER001;Export;01/04/2023;Monthly;1095315
JON2-ECP001-METER001;Export;01/05/2023;Monthly;874213
JON2-ECP001-METER001;Export;01/06/2023;Monthly;321811
JON2-ECP001-METER001;Export;01/07/2023;Monthly;501450
JON2-ECP001-METER001;Export;01/08/2023;Monthly;793936
LEMO-ECP001-METER001;Utility Statement;01/01/2023;Monthly;4073648
LEMO-ECP001-METER001;Utility Statement;01/02/2023;Monthly;2118125
LEMO-ECP001-METER001;Utility Statement;01/03/2023;Monthly;3736919
LEMO-ECP001-METER001;Utility Statement;01/04/2023;Monthly;2448338
LEMO-ECP001-METER001;Utility Statement;01/05/2023;Monthly;2724538
LEMO-ECP001-METER001;Utility Statement;01/06/2023;Monthly;1318281
LEMO-ECP001-METER001;Utility Statement;01/07/2023;Monthly;1703316
LEMO-ECP001-METER001;Utility Statement;01/08/2023;Monthly;1433112
LEMO-ECP001-METER001;Export;01/01/2023;Monthly;4073648
LEMO-ECP001-METER001;Export;01/02/2023;Monthly;2118125
LEMO-ECP001-METER001;Export;01/03/2023;Monthly;3742652
LEMO-ECP001-METER001;Export;01/04/2023;Monthly;2447885
LEMO-ECP001-METER001;Export;01/05/2023;Monthly;2724538
LEMO-ECP001-METER001;Export;01/06/2023;Monthly;1318276
LEMO-ECP001-METER001;Export;01/07/2023;Monthly;1703315
LEMO-ECP001-METER001;Export;01/08/2023;Monthly;1433108
SALL-ECP001-METER001;Utility Statement;01/01/2023;Monthly;2379697
SALL-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1037352
SALL-ECP001-METER001;Utility Statement;01/03/2023;Monthly;2591843
SALL-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1241114
SALL-ECP001-METER001;Utility Statement;01/05/2023;Monthly;1165915
SALL-ECP001-METER001;Utility Statement;01/06/2023;Monthly;499753
SALL-ECP001-METER001;Utility Statement;01/07/2023;Monthly;855318
SALL-ECP001-METER001;Utility Statement;01/08/2023;Monthly;701138
SALL-ECP001-METER001;Export;01/01/2023;Monthly;2379695
SALL-ECP001-METER001;Export;01/02/2023;Monthly;1037352
SALL-ECP001-METER001;Export;01/03/2023;Monthly;2592058
SALL-ECP001-METER001;Export;01/04/2023;Monthly;1241110
SALL-ECP001-METER001;Export;01/05/2023;Monthly;1165914
SALL-ECP001-METER001;Export;01/06/2023;Monthly;244437
SALL-ECP001-METER001;Export;01/07/2023;Monthly;855320
SALL-ECP001-METER001;Export;01/08/2023;Monthly;701143
BVER-ECP001-METER001;Utility Statement;01/01/2023;Monthly;2004743
BVER-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1125064
BVER-ECP001-METER001;Utility Statement;01/03/2023;Monthly;2636964
BVER-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1996131
BVER-ECP001-METER001;Utility Statement;01/05/2023;Monthly;1589165
BVER-ECP001-METER001;Utility Statement;01/06/2023;Monthly;1165583
BVER-ECP001-METER001;Utility Statement;01/08/2023;Monthly;1724539
BVER-ECP001-METER001;Export;01/01/2023;Monthly;2004741
BVER-ECP001-METER001;Export;01/02/2023;Monthly;1125066
BVER-ECP001-METER001;Export;01/03/2023;Monthly;2642806
BVER-ECP001-METER001;Export;01/04/2023;Monthly;1996133
BVER-ECP001-METER001;Export;01/05/2023;Monthly;1589164
BVER-ECP001-METER001;Export;01/06/2023;Monthly;1165579
BVER-ECP001-METER001;Export;01/07/2023;Monthly;1409165
BVER-ECP001-METER001;Export;01/08/2023;Monthly;1724533
ROUS-ECP0001-METER001;Utility Statement;01/01/2023;Monthly;1970567
ROUS-ECP0001-METER001;Utility Statement;01/02/2023;Monthly;1459810
ROUS-ECP0001-METER001;Utility Statement;01/03/2023;Monthly;2842130
ROUS-ECP0001-METER001;Utility Statement;01/04/2023;Monthly;1645068
ROUS-ECP0001-METER001;Utility Statement;01/05/2023;Monthly;1525218
ROUS-ECP0001-METER001;Utility Statement;01/06/2023;Monthly;632234
ROUS-ECP0001-METER001;Utility Statement;01/07/2023;Monthly;896186
ROUS-ECP0001-METER001;Utility Statement;01/08/2023;Monthly;910729
ROUS-ECP0001-METER001;Export;01/01/2023;Monthly;1970567
ROUS-ECP0001-METER001;Export;01/02/2023;Monthly;1459808
ROUS-ECP0001-METER001;Export;01/03/2023;Monthly;2840594
ROUS-ECP0001-METER001;Export;01/04/2023;Monthly;1645073
ROUS-ECP0001-METER001;Export;01/05/2023;Monthly;1525215
ROUS-ECP0001-METER001;Export;01/06/2023;Monthly;632238
ROUS-ECP0001-METER001;Export;01/07/2023;Monthly;896186
ROUS-ECP0001-METER001;Export;01/08/2023;Monthly;910731
ROUS-ECP0002-METER001;Utility Statement;01/01/2023;Monthly;1451614
ROUS-ECP0002-METER001;Utility Statement;01/02/2023;Monthly;1174810
ROUS-ECP0002-METER001;Utility Statement;01/03/2023;Monthly;2004520
ROUS-ECP0002-METER001;Utility Statement;01/04/2023;Monthly;1384380
ROUS-ECP0002-METER001;Utility Statement;01/05/2023;Monthly;1203030
ROUS-ECP0002-METER001;Utility Statement;01/06/2023;Monthly;581474
