Plant ID;Date (start);Interval;Meter;Value
FIEN-ECP001-METER001;01/06/2017;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/09/2017;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/03/2017;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/12/2017;Monthly;Forecast Generation;2789021.3109
FIEN-ECP001-METER001;01/04/2017;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/01/2017;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/10/2017;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/07/2017;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/08/2017;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/02/2017;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/11/2017;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/05/2017;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/12/2015;Monthly;Forecast Generation;2789021.3109
FIEN-ECP001-METER001;01/06/2015;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/09/2015;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/01/2015;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/07/2015;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/10/2015;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/04/2015;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/05/2015;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/02/2015;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/08/2015;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/03/2015;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/11/2015;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/02/2016;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/10/2016;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/05/2016;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/11/2016;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/08/2016;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/03/2016;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/09/2016;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/06/2016;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/12/2016;Monthly;Forecast Generation;2789021.3109
FIEN-ECP001-METER001;01/07/2016;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/01/2016;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/04/2016;Monthly;Forecast Generation;2478496.977
JONC-ECP001-METER001;01/01/2016;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2016;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2016;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2016;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2016;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2016;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2016;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2016;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2016;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2016;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2016;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2016;Monthly;Forecast Generation;3010832.8
JONC-ECP001-METER001;01/01/2017;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2017;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2017;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2017;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2017;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2017;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2017;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2017;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2017;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2017;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2017;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2017;Monthly;Forecast Generation;3010832.8
FIEN-ECP001-METER001;01/01/2018;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/02/2018;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/03/2018;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/04/2018;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/05/2018;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/06/2018;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/07/2018;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/08/2018;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/09/2018;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/10/2018;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/11/2018;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/12/2018;Monthly;Forecast Generation;2789021.3109
JONC-ECP001-METER001;01/01/2018;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2018;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2018;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2018;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2018;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2018;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2018;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2018;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2018;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2018;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2018;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2018;Monthly;Forecast Generation;3010832.8
CHPI-ECP001-METER001;01/01/2018;Monthly;Forecast Generation;18126700.0
CHPI-ECP001-METER001;01/02/2018;Monthly;Forecast Generation;17128900.0
CHPI-ECP001-METER001;01/03/2018;Monthly;Forecast Generation;16131100.0
CHPI-ECP001-METER001;01/04/2018;Monthly;Forecast Generation;13470300.0
CHPI-ECP001-METER001;01/05/2018;Monthly;Forecast Generation;12306200.0
CHPI-ECP001-METER001;01/06/2018;Monthly;Forecast Generation;10476900.0
CHPI-ECP001-METER001;01/07/2018;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/08/2018;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/09/2018;Monthly;Forecast Generation;11641000.0
CHPI-ECP001-METER001;01/10/2018;Monthly;Forecast Generation;14634400.0
CHPI-ECP001-METER001;01/11/2018;Monthly;Forecast Generation;15133300.0
CHPI-ECP001-METER001;01/12/2018;Monthly;Forecast Generation;17295200.0
FIEN-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;2789021.3109
JONC-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;3010832.8
CHPI-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;18126700.0
CHPI-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;17128900.0
CHPI-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;16131100.0
CHPI-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;13470300.0
CHPI-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;12306200.0
CHPI-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;10476900.0
CHPI-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;11641000.0
CHPI-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;14634400.0
CHPI-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;15133300.0
CHPI-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;17295200.0
LEMO-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;4254480.0
LEMO-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;2771010.0
LEMO-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;3184640.0
LEMO-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;2338720.0
LEMO-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;2267190.0
LEMO-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;1887770.0
LEMO-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;2121020.0
LEMO-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;2033940.0
LEMO-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;2061930.0
LEMO-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;2531540.0
LEMO-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;2475560.0
LEMO-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;3172200.0
SALL-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;1955636.4
SALL-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;1582399.8
SALL-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;1641007.2
SALL-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;1363393.2
SALL-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;996325.8
SALL-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;936176.1
SALL-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;987072.0
SALL-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;1286278.2
SALL-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;1366477.8
SALL-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;1648718.7
JON2-ECP001-METER001;01/01/2019;Monthly;Forecast Generation;2246786.1
JON2-ECP001-METER001;01/02/2019;Monthly;Forecast Generation;1430702.0
JON2-ECP001-METER001;01/03/2019;Monthly;Forecast Generation;1570852.4
JON2-ECP001-METER001;01/04/2019;Monthly;Forecast Generation;956234.5
JON2-ECP001-METER001;01/05/2019;Monthly;Forecast Generation;931416.2
JON2-ECP001-METER001;01/06/2019;Monthly;Forecast Generation;874480.1
JON2-ECP001-METER001;01/07/2019;Monthly;Forecast Generation;789805.9
JON2-ECP001-METER001;01/08/2019;Monthly;Forecast Generation;788346.0
JON2-ECP001-METER001;01/09/2019;Monthly;Forecast Generation;935795.9
JON2-ECP001-METER001;01/10/2019;Monthly;Forecast Generation;1216096.7
JON2-ECP001-METER001;01/11/2019;Monthly;Forecast Generation;1296391.2
JON2-ECP001-METER001;01/12/2019;Monthly;Forecast Generation;1562093.0
FIEN-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;2789021.3109
JONC-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;3010832.8
CHPI-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;18126700.0
CHPI-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;17128900.0
CHPI-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;16131100.0
CHPI-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;13470300.0
CHPI-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;12306200.0
CHPI-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;10476900.0
CHPI-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;11641000.0
CHPI-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;14634400.0
CHPI-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;15133300.0
CHPI-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;17295200.0
LEMO-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;4254480.0
LEMO-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;2771010.0
LEMO-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;3184640.0
LEMO-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;2338720.0
LEMO-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;2267190.0
LEMO-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;1887770.0
LEMO-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;2121020.0
LEMO-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;2033940.0
LEMO-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;2061930.0
LEMO-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;2531540.0
