Date (start);Interval;Meter;Value;Plant ID
01/01/2022;Monthly;Availability;99.62201;BVER-ECP001-METER001
01/01/2022;Monthly;Availability;98.48439;CHPI-ECP001-METER001
01/01/2022;Monthly;Availability;98.32806;FIEN-ECP001-METER001
01/01/2022;Monthly;Availability;97.20539;JAVI-ECP001-METER001
01/01/2022;Monthly;Availability;95.46427;JONC-ECP001-METER001
01/01/2022;Monthly;Availability;97.38366;ROUS-ECP0001-METER001
01/02/2022;Monthly;Availability;99.56451;BVER-ECP001-METER001
01/02/2022;Monthly;Availability;98.02076;CHPI-ECP001-METER001
01/02/2022;Monthly;Availability;88.89275;FIEN-ECP001-METER001
01/02/2022;Monthly;Availability;100.0;JAVI-ECP001-METER001
01/02/2022;Monthly;Availability;90.82161;JONC-ECP001-METER001
01/02/2022;Monthly;Availability;95.36868;ROUS-ECP0001-METER001
01/03/2022;Monthly;Availability;98.87974;BVER-ECP001-METER001
01/03/2022;Monthly;Availability;98.26762;CHPI-ECP001-METER001
01/03/2022;Monthly;Availability;93.02451;FIEN-ECP001-METER001
01/03/2022;Monthly;Availability;96.60767;JAVI-ECP001-METER001
01/03/2022;Monthly;Availability;93.96208;JONC-ECP001-METER001
01/03/2022;Monthly;Availability;99.14178;ROUS-ECP0001-METER001
01/04/2022;Monthly;Availability;98.53485;BVER-ECP001-METER001
01/04/2022;Monthly;Availability;97.34821;CHPI-ECP001-METER001
01/04/2022;Monthly;Availability;85.16701;FIEN-ECP001-METER001
01/04/2022;Monthly;Availability;99.46921;JAVI-ECP001-METER001
01/04/2022;Monthly;Availability;90.50766;JONC-ECP001-METER001
01/04/2022;Monthly;Availability;96.92166;ROUS-ECP0001-METER001
01/05/2022;Monthly;Availability;97.79131;BVER-ECP001-METER001
01/05/2022;Monthly;Availability;94.30693;CHPI-ECP001-METER001
01/05/2022;Monthly;Availability;99.16001;FIEN-ECP001-METER001
01/05/2022;Monthly;Availability;99.03557;JAVI-ECP001-METER001
01/05/2022;Monthly;Availability;97.59933;JONC-ECP001-METER001
01/05/2022;Monthly;Availability;97.98258;ROUS-ECP0001-METER001
01/06/2022;Monthly;Availability;96.19901;BVER-ECP001-METER001
01/06/2022;Monthly;Availability;98.40216;CHPI-ECP001-METER001
01/06/2022;Monthly;Availability;98.49313;FIEN-ECP001-METER001
01/06/2022;Monthly;Availability;99.95072;JAVI-ECP001-METER001
01/06/2022;Monthly;Availability;97.11964;JONC-ECP001-METER001
01/06/2022;Monthly;Availability;79.82128;ROUS-ECP0001-METER001
01/07/2022;Monthly;Availability;95.39077;BVER-ECP001-METER001
