Plant ID;Component Type;Model;Manufacturer
ANPA;Eolienne;V112-3.45MW;Vestas
ANPA;Eolienne;E70-2.0MW;Enercon
ANPA;Eolienne;V117-3.6MW - MK3A;Vestas
ANPA;Eolienne;V136-3.6MW - MK3B;Vestas
ANPA;Eolienne;N80-2.4MW;Siemens
ANPA;Eolienne;Haliade 150-6MW - 64;GE
ANPA;Eolienne;V110-2.2MW;Vestas
ANPA;Eolienne;N131-3MW;Nordex
ANPA;Eolienne;V126 - 3.0MW - Mk3B;Vestas
ANPA;Eolienne;V110-2.2MW - Mk10D;Vestas
ANPA;Eolienne;E44-900kW;Enercon
ANPA;Eolienne;SG132-3.65MW;	Siemens Gamesa
ANPA;Eolienne;N117-3.0MW;Nordex
ANPA;Eolienne;V90-3.0MW;Vestas
ANPA;Eolienne;N90-2.3MW - SS;Nordex
ANPA;Eolienne;MM70-2.0MW;Senvion
ANPA;Eolienne;V80-2.0MW - MK7.2;Vestas
ANPA;Eolienne;G80-2.0MW;Gamesa
ANPA;Eolienne;V90-2.0MW - Mk7.4;Vestas
ANPA;Eolienne;N90-2.5MW - SS;Nordex
ANPA;Eolienne;G90-2.0MW;Gamesa
ANPA;Eolienne;E70-2.3MW;Enercon
ANPA;Eolienne;V117-3.3MW;Vestas
ANPA;Eolienne;MM82-2.0MW;Senvion
ANPA;Eolienne;MM92-2.05MW;Senvion
ANPA;Eolienne;V126-3.3MW;Vestas
ANPA;Eolienne;ECO80-1.67MW;Alstom
ANPA;Eolienne;V100-2.2MW;Vestas
ANPA;Eolienne;V47-660kW;Vestas
ANPA;Eolienne;E40-600kW;Enercon
ANPA;Eolienne;N90-2.3MW - LS;Nordex
ANPA;Eolienne;V100-2.0MW;Vestas
ANPA;Eolienne;N117-3.6MW - K08 delta;Nordex
ANPA;Eolienne;NM52-900kW;Neg Micon
ANPA;Eolienne;N60-1.3MW;Nordex
ANPA;Eolienne;V80-2.0MW;Vestas
ANPA;Eolienne;E82-2.3MW;Enercon
ANPA;Eolienne;N100-3.3MW - K08 delta;Nordex
ANPA;Eolienne;SWT-3.0-101;Siemens
ANPA;Eolienne;V80-2.0MW - MK7;Vestas
ANPA;Eolienne;G87-2.0MW;Gamesa
ANPA;Eolienne;G58-850kW;Gamesa
ANPA;Eolienne;MM92-2.05MW - Platform B;Senvion
ANPA;Eolienne;MM82-2.0MW - Platform B;Senvion
ANPA;Eolienne;V80-2.0MW - MK3;Vestas
ANPA;Eolienne;V112-3.3MW;Vestas
ANPA;Eolienne;V80-2.0MW - MK4;Vestas
ANPA;Eolienne;V52-850kW - MK4;Vestas
ANPA;Eolienne;V90-2.0MW - MK3;Vestas
ANPA;Eolienne;N90-2.5MW;Nordex
ANPA;Eolienne;E82-3.0MW;Enercon
ANPA;Eolienne;SWT-3.2-113;Siemens
ANPA;Eolienne;V90-2.0MW - MK7;Vestas
ANPA;Eolienne;V90-3.0MW - MK9;Vestas
ANPA;Eolienne;N90-2.3MW;Nordex
ANPA;Eolienne;G97-2.0MW;Gamesa
ANPA;Eolienne;N43-600kW;Nordex
ANPA;Eolienne;V90-3.0MW - MK7;Vestas
ANPA;Eolienne;MD70-1.5MW;Senvion
ANPA;Eolienne;V90-3.0MW - MK4;Vestas
ANPA;Eolienne;NM92-2.75MW;Neg Micon
ANPA;Eolienne;N131-3.6MW - K08 delta;Nordex
ANPA;Eolienne;V100-2.2MW - Mk10;Vestas
ANPA;Eolienne;V117-3.45MW - MK3A;Vestas
ANPA;Eolienne;V110-2.2MW - Mk10C-D;Vestas
ANPA;Eolienne;SWT-7.0-154 - SWT-7.0-154;Siemens
