Model;Component Type;Component ID;Plant ID;Quantity;Date Installed;Serial Number;Short Name
SG132-3.65MW;Eolienne;LORO-T008;LORO;1;;100246718;LORO-T008
SG132-3.65MW;Eolienne;LORO-T009;LORO;1;;100246673;LORO-T009
SG132-3.65MW;Eolienne;LORO-T010;LORO;1;;100246672;LORO-T010
SG132-3.65MW;Eolienne;LORO-T011;LORO;1;;100246689;LORO-T011
SG132-3.65MW;Eolienne;LORO-T012;LORO;1;;100246688;LORO-T012
SG132-3.65MW;Eolienne;LORO-T013;LORO;1;;100246716;LORO-T013
N117-3.0MW;Eolienne;BVER-T003;BVER;1;;;BVER-T003
N117-3.0MW;Eolienne;BVER-T004;BVER;1;;;BVER-T004
N117-3.0MW;Eolienne;BVER-T005;BVER;1;;;BVER-T005
N117-3.0MW;Eolienne;BVER-T006;BVER;1;;;BVER-T006
V90-3.0MW;Eolienne;ALLA-T001;ALLA;1;01/06/2013;32745;ALLA-T001
V90-3.0MW;Eolienne;ALLA-T002;ALLA;1;01/06/2013;32750;ALLA-T002
V90-3.0MW;Eolienne;ALLA-T003;ALLA;1;01/06/2013;32746;ALLA-T003
V90-3.0MW;Eolienne;ALLA-T004;ALLA;1;01/06/2013;32748;ALLA-T004
N90-2.3MW - SS;Eolienne;AMEL-T001;AMEL;1;25/09/2008;NX80628;AMEL-T001
N90-2.3MW - SS;Eolienne;AMEL-T002;AMEL;1;25/09/2008;NX80629;AMEL-T002
N90-2.3MW - SS;Eolienne;AMEL-T003;AMEL;1;25/09/2008;NX80630;AMEL-T003
N90-2.3MW - SS;Eolienne;AMEL-T004;AMEL;1;25/09/2008;NX80631;AMEL-T004
N90-2.3MW - SS;Eolienne;AMEL-T005;AMEL;1;25/09/2008;NX80632;AMEL-T005
MM70-2.0MW;Eolienne;AUCO-T001;AUCO;1;22/12/2005;80124;AUCO-T001
MM70-2.0MW;Eolienne;AUCO-T002;AUCO;1;22/12/2005;80134;AUCO-T002
MM70-2.0MW;Eolienne;AUCO-T003;AUCO;1;22/12/2005;80133;AUCO-T003
MM70-2.0MW;Eolienne;AUCO-T004;AUCO;1;22/12/2005;80107;AUCO-T004
MM70-2.0MW;Eolienne;AUCO-T005;AUCO;1;22/12/2005;80135;AUCO-T005
MM70-2.0MW;Eolienne;AUCO-T011;AUCO;1;22/12/2005;80114;AUCO-T011
V80-2.0MW - MK7.2;Eolienne;AUM3-T001;AUM3;1;23/09/2014;202954;AUM3-T001
V80-2.0MW - MK7.2;Eolienne;AUM3-T002;AUM3;1;23/09/2014;202953;AUM3-T002
V80-2.0MW - MK7.2;Eolienne;AUM3-T003;AUM3;1;23/09/2014;202955;AUM3-T003
V80-2.0MW - MK7.2;Eolienne;AUM3-T004;AUM3;1;23/09/2014;202949;AUM3-T004
