Plant ID;datetime;Value;meter;date;Date (start);Meter;Interval
TRFR;01/01/2023;2294833.8333333335;TRFR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SOUR;01/01/2023;2937832.3333333335;SOUR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SOUR;01/01/2023;2480123.5;SOUR-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
AUQB;01/01/2023;2552341.0;AUQB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
QVA3;01/01/2023;3582180.0;QVA3-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
QVA3;01/01/2023;1980008.3333333333;QVA3-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ALVI;01/01/2023;5734593.833333333;ALVI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
AMBE;01/01/2023;347491.6666666667;AMBE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
AMEL;01/01/2023;3475014.3333333335;AMEL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ANPA;01/01/2023;3539404.0;ANPA-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SAMI;01/01/2023;2163678.8333333335;SAMI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ARAM;01/01/2023;320776.8333333333;ARAM-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ARTI;01/01/2023;172510.83333333334;ARTI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
AUM3;01/01/2023;3901132.5;AUM3-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BAMB;01/01/2023;2916743.1666666665;BAMB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BTS1;01/01/2023;3699372.3333333335;BTS1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BTS2;01/01/2023;3034336.8333333335;BTS2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BVER;01/01/2023;2004743.1666666667;BVER-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BDBS;01/01/2023;4418696.333333333;BDBS-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BDBS;01/01/2023;958367.8333333334;BDBS-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BLAU;01/01/2023;212484.0;BLAU-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BARB;01/01/2023;1344372.0;BARB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BOUS;01/01/2023;2198926.3333333335;BOUS-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
BRIY;01/01/2023;1690862.1666666667;BRIY-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CAMB;01/01/2023;4503031.5;CAMB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CASH;01/01/2023;1616913.1666666667;CASH-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
DIJO;01/01/2023;416225.1666666667;DIJO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CHAG;01/01/2023;141298.83333333334;CHAG-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CHGO;01/01/2023;3353844.8333333335;CHGO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CHGO;01/01/2023;2314009.0;CHGO-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CEP1;01/01/2023;3829889.1666666665;CEP1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CEP2;01/01/2023;2234967.5;CEP2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CLA2;01/01/2023;733045.3333333334;CLA2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CLA2;01/01/2023;768810.1666666666;CLA2-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
