Plant ID;Date (start);Interval;Meter;Value
LBDF;01/01/2022;Monthly;Availability;98.40731
LDTE;01/01/2022;Monthly;Availability;96.865
MACH;01/01/2022;Monthly;Availability;96.49221
TRAY;01/01/2022;Monthly;Availability;84.87721
LBDF;01/02/2022;Monthly;Availability;99.97468
LDTE;01/02/2022;Monthly;Availability;97.2482
MACH;01/02/2022;Monthly;Availability;96.79554
TRAY;01/02/2022;Monthly;Availability;94.86788
LBDF;01/03/2022;Monthly;Availability;99.9812
LDTE;01/03/2022;Monthly;Availability;98.43591
MACH;01/03/2022;Monthly;Availability;99.22501
TRAY;01/03/2022;Monthly;Availability;98.45467
LBDF;01/04/2022;Monthly;Availability;90.60412
LDTE;01/04/2022;Monthly;Availability;93.31884
MACH;01/04/2022;Monthly;Availability;92.27274
TRAY;01/04/2022;Monthly;Availability;95.55457
LBDF;01/05/2022;Monthly;Availability;96.60465
LDTE;01/05/2022;Monthly;Availability;98.97752
MACH;01/05/2022;Monthly;Availability;92.52752
TRAY;01/05/2022;Monthly;Availability;94.5597
LBDF;01/06/2022;Monthly;Availability;97.79161
LDTE;01/06/2022;Monthly;Availability;97.94053
MACH;01/06/2022;Monthly;Availability;82.07254
TRAY;01/06/2022;Monthly;Availability;68.71583
LBDF;01/07/2022;Monthly;Availability;98.15743
LDTE;01/07/2022;Monthly;Availability;99.2673
MACH;01/07/2022;Monthly;Availability;92.4739
TRAY;01/07/2022;Monthly;Availability;85.1782
LBDF;01/08/2022;Monthly;Availability;95.71809
LDTE;01/08/2022;Monthly;Availability;98.88849
MACH;01/08/2022;Monthly;Availability;94.01772
TRAY;01/08/2022;Monthly;Availability;92.83449
LBDF;01/09/2022;Monthly;Availability;99.40501
LDTE;01/09/2022;Monthly;Availability;97.47106
MACH;01/09/2022;Monthly;Availability;95.49245
TRAY;01/09/2022;Monthly;Availability;87.74994
LBDF;01/10/2022;Monthly;Availability;98.26922
LDTE;01/10/2022;Monthly;Availability;99.30454
MACH;01/10/2022;Monthly;Availability;86.93517
TRAY;01/10/2022;Monthly;Availability;79.63941
LBDF;01/11/2022;Monthly;Availability;97.33042
LDTE;01/11/2022;Monthly;Availability;96.38032
MACH;01/11/2022;Monthly;Availability;91.41822
TRAY;01/11/2022;Monthly;Availability;99.61419
LBDF;01/12/2022;Monthly;Availability;98.40865
LDTE;01/12/2022;Monthly;Availability;99.93239
MACH;01/12/2022;Monthly;Availability;97.834
TRAY;01/12/2022;Monthly;Availability;94.8245
LBDF;01/01/2023;Monthly;Availability;98.91639
LDTE;01/01/2023;Monthly;Availability;100.0
MACH;01/01/2023;Monthly;Availability;96.0759
TRAY;01/01/2023;Monthly;Availability;98.9089
LBDF;01/02/2023;Monthly;Availability;99.61635
LDTE;01/02/2023;Monthly;Availability;100.0
MACH;01/02/2023;Monthly;Availability;98.74617
TRAY;01/02/2023;Monthly;Availability;87.66463
LBDF;01/03/2023;Monthly;Availability;99.05827
LDTE;01/03/2023;Monthly;Availability;100.0
MACH;01/03/2023;Monthly;Availability;92.92527
TRAY;01/03/2023;Monthly;Availability;97.1306
LBDF;01/04/2023;Monthly;Availability;97.96718
LDTE;01/04/2023;Monthly;Availability;100.0
MACH;01/04/2023;Monthly;Availability;94.38633
TRAY;01/04/2023;Monthly;Availability;94.42706
LBDF;01/05/2023;Monthly;Availability;97.21153
